sentiment,tweet_2
neutral,RT @ParthJindal11: Come on India - I am bleeding blue - let’s go get some Thai curry today! #TeamIndia #AFCAsianCup #THAIND
negative,"RT @FirstpostSports: THAILAND 1-3 INDIA

GOAAAAALLLL! Chhetri, Udanta once again involve heavily with the build-up and Anirudh Thapa with a…"
neutral,"RT @Hariom_Rawat19: @MoHUA_India
#न्यायालय_की_निष्क्रियता Supreme Court also need to under stand that injustice won’t be tolerated by Hindu…"
neutral,RT @ThePanenkaView: Halftime and the scores are locked at 1-1! #THAIND #AsianCup2019 #AsianCup #India #BackTheBlues https://t.co/QAZkisZ5DK
positive,RT @wef: Sustainability in Sikkim. Read more: https://t.co/RR9CZ6BB5t #india #environment https://t.co/hcr5b8CEK6
positive,"RT @SwarajyaMag: Today’s Special: A Partial Solar Eclipse, But Not Observable In India

https://t.co/ZMKBCfuQEb"
neutral,"RT @spectatorindex: Population. (million)

China: 1400
India: 1330
US: 328
Indonesia: 265
Brazil: 209
Pakistan: 201
Nigeria: 194
Bangladesh…"
neutral,@Brunnel29 @dominos @dominos_india hey @Brunnel29 did #DominosKolkata resolve your issue?
negative,"RT @chandpc123: It seems that RG is doing this without any fear because Media is biased little bit
@ashwani_mahajan @sgurumurthy
Shame that…"
neutral,RT @hashahmedabad: Gujarat University final exams from March 5 - Times of India https://t.co/KCFvOJ15pj #Ahmedabad #News
negative,"RT @joybhattacharj: Six test centuries and seventeen fifties, all scored after losing an eye in a tragic accident. India has had many great…"
neutral,@Pdorato14 Huinca is cancelled
neutral,"RT @afcasiancup: 8⃣5⃣ @Cristiano 🇵🇹
6⃣6⃣ @chetrisunil11 🇮🇳
6⃣5⃣ @TeamMessi 🇦🇷

Sunil Chhetri scores his 66th with India to overtake Lionel…"
neutral,"RT @taran_adarsh: #KGF biz at a glance...
Week 1: ₹ 21.45 cr
Week 2: ₹ 11.50 cr
Total: ₹ 32.95 cr
India biz.
#KGF screen count has increase…"
neutral,"we want 80% #hikein5days

#hikeresearchfellowship 

@HRDMinistry @FinMinIndia @IndiaDST @DBTIndia @CSIR_IND… https://t.co/8MudIDm6kl"
negative,"RT @firstpost: The 106th #IndianScienceCongress made headlines for startling claims and statements made by some speakers, particularly thos…"
neutral,"RT @pranavINC: The idea could be to kill HAL so that the Company &amp; it’s assets can be sold off to Cronies !

A starving #HAL doesn't have o…"
negative,RT @SitaramYechury: 11 millions jobs lost in 2018: the growing misery under Modi govt. The joblessness is hitting and destroying the youth…
negative,RT @NlCOLEKlDMANS: FIVE MILLION WOMEN IN INDIA FORMED A 385 MILE LONG “WOMENS WALL” IN PROTEST OF GENDER INEQUALITY. FIVE MILLION YALL !!!!…
negative,@here_2_be_aware @anupamachopra @RanveerOfficial Sad part is the producer glorified this cut paste job frm south sa… https://t.co/8iuRmS379Y
neutral,@sillagerey Between China and India https://t.co/c1s7mfma4u
neutral,RT @SirJadeja: Sunil Chhetri scores his 2nd goal. India leading 2-1 against Thailand in AFC Asian Cup. 👏💪🇮🇳 #AsianCup2019 #THAIND https://t…
neutral,"@Ramonlobooo Hum, dboaaa"
positive,RT @davidfrawleyved: During their many years of rule the Nehru/Gandhis named most of the institutions in the country after themselves. Did…
negative,RT @ichacko14: Common India...We want another goal !!! #THAIND 1-3 @Goal_India @IndianFootball @chetrisunil11
neutral,@anzar_wani @torquoiseseas @babahadia If nation=India
positive,"RT @RajiniFollowers: Thalaivar Bloods, Keep Trending! 
We are trending in INDIA ToP more than 30 mins🔥

#PettaParaakOnThursday 🕶⭐️

@sunpic…"
positive,"RT @MinhazMerchant: #ED tells Delhi court #RobertVadra is benami owner of London flat worth £1.9million, bought by Vadra associate &amp; arms d…"
positive,RT @ShashiTharoor: New project announcements in India have declined to the lowest levels since mid-2004 (a 14 year low) even as stalled pro…
neutral,"RT @AdityaMenon22: If someone threw a bomb this way in Punjab or Kashmir, it would be called terrorism. Even if it was a Muslim in Kerala,…"
neutral,@DefenceMinIndia @INCIndia @RahulGandhi @PIB_India @nsitharamanoffc Madam Lets Start With 15 Lakhs PM Election Prom… https://t.co/rjfvs5IzIo
positive,RT @Dilsedesh: Does someone wants to take #ManoharParrikar for morning walk I am worried 🙄🙄🙄🙄 Manohar Parrikar's Life In Danger Over Rafale…
neutral,RT @MyFellowIndians: Why is @nsitharaman ENDANGERING India's defences by tweeting the details of ALL the aircrafts &amp; helicopters with detai…
